,no_suivi,no_rapport,type_rapport,date_envoi,crc,titre,note,type_etablissement,lat,long,ville,departement
593,,jf00147225.html,Rapport d'observations définitives,28/11/2014,CRC Aquitaine Poitou-Charentes,Commune - Niort -  (Deux-Sèvres),-3,Commune,46.323716,-0.4647769999999999,Niort,Deux-Sèvres
594,2014-0262 R,jf00147317.html,Rapport d'observations définitives,26/03/2015,CRC Ile-de-France,Centre communal d'action sociale - Centre de Santé Marcadet - Paris (Paris),-183,Centre communal d'action sociale,48.856614,2.3522218999999995,Paris,Paris
595,2015-11,jf00147352.html,Rapport d'observations définitives,23/03/2015,CRC Bretagne,Commune - Landerneau - Landerneau (Finistère),49,Commune,48.450752896800005,-4.2643453824,Landerneau,Finistère
596,654,jf00147610.html,Rapport d'observations définitives,18/09/2014,CRC Nord-Pas-de-Calais Picardie,Syndicat mixte - Syndicat mixte des transports collectifs de l'Oise - Beauvais (Oise),-9,Syndicat mixte,49.4365523321,2.08616123661,Beauvais,Oise
597,,jf00147638.html,Rapport d'observations définitives,11/03/2015,CRC Basse-Normandie Haute-Normandie,Commune - La Ferté-Macé -  (Orne),-52,Commune,48.589377,-0.356027,La Ferté-Macé,Orne
598,,jf00147641.html,Rapport d'observations définitives,24/12/2014,CRC Basse-Normandie Haute-Normandie,Association - Association Dieppe Scène Nationale (DSN) - Dieppe (Seine-Maritime),-85,Association,49.9222503951,1.08681168449,Dieppe,Seine-Maritime
599,2015-009,jf00147690.html,Rapport d'observations définitives,14/04/2015,CRC Midi-Pyrénées,Département - Département de l'Ariège - Foix (Ariège),-159,Département,42.9658502274,1.61037495894,Foix,Ariège
600,,jf00147716.html,Rapport d'observations définitives,16/04/2015,CRC Aquitaine Poitou-Charentes,Commune - Fontclaireau -  (Charente),23,Commune,45.89478,0.200286,Fontclaireau,Charente
601,LRR201428,jf00147770.html,Rapport d'observations définitives,26/11/2014,CRC Languedoc-Roussillon,Département - Conseil Général des Pyrénées-Orientales - Perpignan (Pyrénées-Orientales),-124,Département,42.6965954131,2.8993695397900003,Perpignan,Pyrénées-Orientales
602,,jf00147771.html,Rapport d'observations définitives,10/04/2015,CRC Basse-Normandie Haute-Normandie,Commune - Trouville-sur-Mer -  (Calvados),-188,Commune,49.36628899999999,0.08280799999999999,Trouville-sur-Mer,Calvados
603,,jf00147790.html,Rapport d'observations définitives,30/04/2015,CRC Aquitaine Poitou-Charentes,Services départementaux d'incendie et de secours - SDIS de la Gironde - Bordeaux (Gironde),-113,Services départementaux d'incendie et de secours,44.8572445351,-0.57369678116,Bordeaux,Gironde
604,2015003,jf00147801.html,Rapport d'observations définitives,31/03/2015,CRC Centre Limousin,Commune - Commune d'Ormes - Ormes (Loiret),-52,Commune,47.94789273550001,1.8071403661,Ormes,Loiret
605,d151197,jf00147942.html,Rapport d'observations définitives,10/04/2015,CRC Auvergne Rhône-Alpes,Commune - Pont de Claix -  (Isère),4,Commune,45.123218,5.69782,Pont-de-Claix,Isère
606,2015-262,jf00147952.html,Rapport d'observations définitives,24/04/2015,CRC Alsace,Commune - Commune de Fessenheim* - Fessenheim (Haut-Rhin),20,Commune,47.909926376099996,7.531985574410001,Fessenheim,Haut-Rhin
607,14-0217 R,jf00147969.html,Rapport d'observations définitives,30/03/2015,CRC Ile-de-France,Société d'économie mixte - Société Séquano-Aménagement (ex Sodédat 93) -  (Seine-Saint-Denis),-444,Société d'économie mixte,48.91374550000001,2.4845729,Seine-Saint-Denis,Seine-Saint-Denis
608,,jf00148032.html,Rapport d'observations définitives,20/05/2015,CRC Aquitaine Poitou-Charentes,Commune - Pau -  (Pyrénées-Atlantiques),-33,Commune,43.2951,-0.370797,Pau,Pyrénées-Atlantiques
609,,jf00148034.html,Rapport d'observations définitives,20/05/2015,CRC Aquitaine Poitou-Charentes,Commune - La Rochelle -  (Charente-Maritime),-23,Commune,46.160329,-1.151139,La Rochelle,Charente-Maritime
610,,jf00148037.html,Rapport d'observations définitives,20/05/2015,CRC Aquitaine Poitou-Charentes,Communauté d'agglomération - Communauté d'agglomération de La Rochelle - La Rochelle (Charente-Maritime),-36,Communauté d'agglomération,46.16206439720001,-1.1746570283600002,La Rochelle,Charente-Maritime
611,2015-16,jf00148038.html,Rapport d'observations définitives,16/04/2015,CRC Bretagne,Commune - Crozon - Crozon (Finistère),-6,Commune,48.2449715382,-4.49170347769,Crozon,Finistère
612,2015- 152  ,jf00148066.html,Rapport d'observations définitives,12/03/2015,CRC Alsace,"Etablissement hospitalier public - Groupe
hospitalier de la région de Mulhouse et Sud Alsace - Mulhouse (Haut-Rhin)",-134,Etablissement hospitalier public,47.749163303,7.32570047509,Mulhouse,Haut-Rhin
613,2015-10,jf00148085.html,Rapport d'observations définitives,23/03/2015,CRC Bretagne,Association - Association Espaces des sciences - Rennes (Ille-et-Vilaine),-127,Association,48.1119791219,-1.6818644914399998,Rennes,Ille-et-Vilaine
614,14-0230 R,jf00148096.html,Rapport d'observations définitives,02/04/2015,CRC Ile-de-France,Département - Essonne -  (Essonne),-93,Département,48.402568,2.4138878,Essonne,Essonne
615,2015-17,jf00148100.html,Rapport d'observations définitives,04/05/2015,CRC Bretagne,Commune - Sarzeau - Sarzeau (Morbihan),-11,Commune,47.523537947799994,-2.7508713690599995,Sarzeau,Morbihan
616,2015-0010,jf00148104.html,Rapport d'observations définitives,05/05/2015,CRC Champagne-Ardenne Lorraine,Association - Association de développement urbain de l'aire urbaine de l'agglomération nancéienne (ADUAN) - Nancy (Meurthe-et-Moselle),-25,Association,48.6901995499,6.17588254434,Nancy,Meurthe-et-Moselle
617,CALR201511,jf00148109.html,Rapport d'observations définitives,05/05/2015,CRC Champagne-Ardenne Lorraine,Département - Département de l'Aube - Troyes (Aube),-55,Département,48.296709963699996,4.07827967525,Troyes,Aube
618,2015-215 ,jf00148173.html,Rapport d'observations définitives,10/04/2015,CRC Alsace,Office du tourisme - Office du tourisme de Wissembourg - Wissembourg (Bas-Rhin),-180,Office du tourisme,49.018456253900005,7.961745759119999,Wissembourg,Bas-Rhin
619,2015- 278 ,jf00148175.html,Rapport d'observations définitives,29/04/2015,CRC Alsace,Communauté de communes -  Communauté de communes Essor du Rhin - Fessenheim (Haut-Rhin),-9,Communauté de communes,47.909926376099996,7.531985574410001,Fessenheim,Haut-Rhin
620,2015-12,jf00148289.html,Rapport d'observations définitives,24/03/2015,CRC Bretagne,Commune - Vannes - Vannes (Morbihan),153,Commune,47.6597493766,-2.75714329498,Vannes,Morbihan
621,,jf00148315.html,Rapport d'observations définitives,02/06/2015,CRC Aquitaine Poitou-Charentes,Commune - Pompignac -  (Gironde),64,Commune,44.850991,-0.439564,Pompignac,Gironde
622,,jf00148316.html,Rapport d'observations définitives,03/06/2015,CRC Aquitaine Poitou-Charentes,Commune - Saint-Quentin-de-Baron -  (Gironde),-87,Commune,44.8187349,-0.286936,Saint-Quentin-de-Baron,Gironde
623,,jf00148318.html,Rapport d'observations définitives,03/06/2015,CRC Aquitaine Poitou-Charentes,Etablissement hospitalier public - Centre Hospitalier Intercommunal Sud-Gironde - Langon (Gironde),-51,Etablissement hospitalier public,44.5376287285,-0.241841251091,Langon,Gironde
624,LRR201506,jf00148339.html,Rapport d'observations définitives,14/04/2015,CRC Languedoc-Roussillon,Communauté d'agglomération - Communauté d'agglomération du Pays de l'Or - Mauguio (Hérault),-119,Communauté d'agglomération,43.5928279472,4.00425693337,Mauguio,Hérault
625,,jf00148417.html,Rapport d'observations définitives,16/06/2015,CRC Aquitaine Poitou-Charentes,Commune - Soorts-Hossegor -  (Landes),-221,Commune,43.6646192,-1.3976871000000002,Hossegor,Landes
626,,jf00148444.html,Rapport d'observations définitives,11/03/2015,CRC Basse-Normandie Haute-Normandie,Association syndicale - Syndicat aval de la vallée de l'Iton (SAVITON) - Gravigny (Eure),-53,Association syndicale,49.0522263912,1.16057059772,Gravigny,Eure
627,LRR201507,jf00148467.html,Rapport d'observations définitives,13/05/2015,CRC Languedoc-Roussillon,Association - Association Montpellier Handball - Montpellier (Hérault),-155,Association,43.6134409138,3.86851657896,Montpellier,Hérault
628,LRR201508,jf00148473.html,Rapport d'observations définitives,13/05/2015,CRC Languedoc-Roussillon,Entreprise privée - EURSL Montpellier Agglomération Handball - Montpellier (Hérault),-206,Entreprise privée,43.6134409138,3.86851657896,Montpellier,Hérault
629,2015-22,jf00148506.html,Rapport d'observations définitives,03/06/2015,CRC Bretagne,Communauté d'agglomération - Communauté d'agglomération de Morlaix - Morlaix (Finistère),-78,Communauté d'agglomération,48.5996746612,-3.8205201996300007,Morlaix,Finistère
630,2015-286,jf00148609.html,Rapport d'observations définitives,06/05/2015,CRC Alsace,Commune - Ville de Colmar - Colmar (Haut-Rhin),-107,Commune,48.1099405789,7.38468690323,Colmar,Haut-Rhin
631,2015008,jf00148627.html,Rapport d'observations définitives,10/04/2015,CRC Centre Limousin,Département - Département de l'Indre - Châteauroux (Indre),-104,Département,46.8029617828,1.6939981200100005,Châteauroux,Indre
632,2015006,jf00148632.html,Rapport d'observations définitives,13/05/2015,CRC Centre Limousin,Commune - Commune d'Ussel - Ussel (Corrèze),-68,Commune,45.5502290763,2.30449906488,Ussel,Corrèze
633,2015-014,jf00148667.html,Rapport d'observations définitives,14/04/2015,CRC Midi-Pyrénées,Chambre de métiers et de l'artisanat - Chambre de métiers et de l'artisanat du Lot - Cahors (Lot),-9,Chambre de métiers et de l'artisanat,44.4507370916,1.44075837848,Cahors,Lot
634,,jf00148669.html,Rapport d'observations définitives,23/03/2015,CRC Basse-Normandie Haute-Normandie,Communauté d'agglomération - Communauté d'agglomération de Caen-la-Mer - Caen (Calvados),79,Communauté d'agglomération,49.1847936737,-0.369801713036,Caen,Calvados
635,LRR201509,jf00148678.html,Rapport d'observations définitives,16/04/2015,CRC Languedoc-Roussillon,"Communauté d'agglomération - Communauté d'agglomération ""Carcassonne Agglo"" - Carcassonne (Aude)",-78,Communauté d'agglomération,43.2093798444,2.34398855385,Carcassonne,Aude
636,15-0049 R,jf00148709.html,Rapport d'observations définitives,27/05/2015,CRC Ile-de-France,Commune - Saint-Germain-en-Laye -  (Yvelines),-143,Commune,48.898908,2.093761,Saint-Germain-en-Laye,Yvelines
637,,jf00148728.html,Rapport d'observations définitives,26/05/2015,CRC Basse-Normandie Haute-Normandie,"Etablissement public de coopération culturelle - Etablissement public de coopération culturelle (EPCC) ""Le Volcan"" - Le Havre (Seine-Maritime)",-54,Etablissement public de coopération culturelle,49.498452502,0.140153719153,Le Havre,Seine-Maritime
638,15-ROD2-19,jf00148738.html,Rapport d'observations définitives,03/06/2015,CRC Bourgogne Franche-Comté,Région - Bourgogne - Dijon (Côte-d'Or),-97,Région,47.3229437965,5.03788805877,Dijon,Côte-d'Or
639,2015- 305,jf00148748.html,Rapport d'observations définitives,20/05/2015,CRC Alsace,Commune - Ville de Wissembourg - Wissembourg (Bas-Rhin),-109,Commune,49.018456253900005,7.961745759119999,Wissembourg,Bas-Rhin
640,2015-20,jf00148752.html,Rapport d'observations définitives,28/05/2015,CRC Bretagne,Communauté d'agglomération - Brest Métropole Océane - Brest (Finistère),-1,Communauté d'agglomération,48.4004997828,-4.502790785299999,Brest,Finistère
641,,jf00148754.html,Rapport d'observations définitives,22/05/2015,CRC Provence-Alpes-Côte d'Azur,Département - Département du Var enquête MAPAPA - Toulon (Var),-222,Département,43.1361589728,5.932396342490001,Toulon,Var
642,D151334,jf00148758.html,Rapport d'observations définitives,23/04/2015,CRC Auvergne Rhône-Alpes,Société d'économie mixte - Société d'économie mixte des pompes funèbres intercommunales de la région grenobloise (SEM PFI) - La Tronche (Isère),-345,Société d'économie mixte,45.2104409255,5.74343326974,La Tronche,Isère
643,15-ROD2-14,jf00148772.html,Rapport d'observations définitives,21/04/2015,CRC Bourgogne Franche-Comté,"Etablissement hospitalier public - Centre de soins et d'hébergement de longue durée ""Jacques Weinman""  - Avanne-Aveney (Doubs)",-38,Etablissement hospitalier public,47.20139393189999,5.9554996988,Avanne-Aveney,Doubs
644,197,jf00148792.html,Rapport d'observations définitives,27/05/2015,CRC Nord-Pas-de-Calais Picardie,Communauté de communes - Communauté de communes de l'Abbevillois - Abbeville (Somme),-82,Communauté de communes,50.1083582944,1.8320917020700005,Abbeville,Somme
645,238,jf00148797.html,Rapport d'observations définitives,22/05/2015,CRC Nord-Pas-de-Calais Picardie,Communauté d'agglomération - Communauté d'agglomération de Valenciennes métropole - Valenciennes (Nord),-145,Communauté d'agglomération,50.3588666163,3.51567664819,Valenciennes,Nord
646,127,jf00148808.html,Rapport d'observations définitives,02/06/2015,CRC Nord-Pas-de-Calais Picardie,"Office public de l'habitat - office public de l'habitat ""Pas-de-Calais Habitat"" PCH  - Arras (Pas-de-Calais)",-139,Office public de l'habitat,50.2898964997,2.76587316711,Arras,Pas-de-Calais
647,666,jf00148810.html,Rapport d'observations définitives,30/04/2015,CRC Nord-Pas-de-Calais Picardie,"Etablissement pour handicapés et inadaptés - Etablissement Public Departemental de soins, d'Adaptation et d'Education (EPDSAE) - Lille (Nord)",-136,Etablissement pour handicapés et inadaptés,50.631718316800004,3.0478327231200004,Lille,Nord
648,2015- 210,jf00148813.html,Rapport d'observations définitives,09/04/2015,CRC Alsace,Association - Association pour l accompagnement et le maintien à  domicile - Mulhouse (Haut-Rhin),-98,Association,47.749163303,7.32570047509,Mulhouse,Haut-Rhin
649,2015010,jf00148817.html,Rapport d'observations définitives,01/06/2015,CRC Centre Limousin,Office public de l'habitat - Office public de l'habitat de Châteaudun Le logement dunois - Châteaudun (Eure-et-Loir),-91,Office public de l'habitat,48.0762457334,1.32636728625,Châteaudun,Eure-et-Loir
650,2015-016,jf00148829.html,Rapport d'observations définitives,03/06/2015,CRC Midi-Pyrénées,Département - Département du Gers - Auch (Gers),-20,Département,43.6534300414,0.5751902504590001,Auch,Gers
651,2015011,jf00148835.html,Rapport d'observations définitives,12/05/2015,CRC Centre Limousin,Etablissement public local d'enseignement - Lycée Maurice Rollinat  - Argenton-sur-Creuse (Indre),-67,Etablissement public local d'enseignement,46.5787862593,1.4926283101,Argenton-sur-Creuse,Indre
652,331,jf00148840.html,Rapport d'observations définitives,11/05/2015,CRC Nord-Pas-de-Calais Picardie,Département - Département de la Somme - Amiens (Somme),-6,Département,49.900953218599994,2.29007445539,Amiens,Somme
653,673,jf00148841.html,Rapport d'observations définitives,11/05/2015,CRC Nord-Pas-de-Calais Picardie,Département - Département de la Somme - Amiens (Somme),-155,Département,49.900953218599994,2.29007445539,Amiens,Somme
654,2015-18,jf00148845.html,Rapport d'observations définitives,11/05/2015,CRC Bretagne,Centre de gestion de la fonction publique territoriale - Centre departemental de gestion de la fonction publique territoriale du Finistere - Quimper (Finistère),-200,Centre de gestion de la fonction publique territoriale,47.9971425162,-4.0911194445499985,Quimper,Finistère
655,2015007,jf00148847.html,Rapport d'observations définitives,13/05/2015,CRC Centre Limousin,Communauté de communes - Communauté de communes d'Ussel-Meymac Haute-Corrèze - Ussel (Corrèze),-81,Communauté de communes,45.5502290763,2.30449906488,Ussel,Corrèze
656,2014-40,jf00148859.html,Rapport d'observations définitives,02/12/2014,CRC Bretagne,Etablissement hospitalier public - Centre hospitalier Guillaume Régnier - Rennes (Ille-et-Vilaine),-111,Etablissement hospitalier public,48.1119791219,-1.6818644914399998,Rennes,Ille-et-Vilaine
657,LRR201512,jf00148890.html,Rapport d'observations définitives,16/06/2015,CRC Languedoc-Roussillon,Comité du tourisme - Comité départemental du tourisme des Pyrénées-Orientales - Perpignan (Pyrénées-Orientales),-132,Comité du tourisme,42.6965954131,2.8993695397900003,Perpignan,Pyrénées-Orientales
658,2015-19,jf00148891.html,Rapport d'observations définitives,21/05/2015,CRC Bretagne,Centre de gestion de la fonction publique territoriale - Centre de gestion de la fonction publique territoriale des Côtes d'Armor - Plérin (Côtes-d'Armor),-97,Centre de gestion de la fonction publique territoriale,48.5441732134,-2.77004635921,Plérin,Côtes-d'Armor
659,2015-24,jf00148892.html,Rapport d'observations définitives,18/06/2015,CRC Bretagne,Commune - Martigné-Ferchaud - Martigné-Ferchaud (Ille-et-Vilaine),39,Commune,47.8281952315,-1.32808258577,Martigné-Ferchaud,Ille-et-Vilaine
660,,jf00148896.html,Rapport d'observations définitives,03/07/2015,CRC Aquitaine Poitou-Charentes,Département - Conseil départemental de la Gironde - Bordeaux (Gironde),-618,Département,44.8572445351,-0.57369678116,Bordeaux,Gironde
661,2015-26,jf00148917.html,Rapport d'observations définitives,23/06/2015,CRC Bretagne,Société d'économie mixte - SEM du transport en commun en site propre (TCSP) de Brest  - Brest (Finistère),0,Société d'économie mixte,48.4004997828,-4.502790785299999,Brest,Finistère
662,2015-209,jf00148938.html,Rapport d'observations définitives,09/04/2015,CRC Alsace,Association - Association bas-rhinoise d'aide aux personnes agees (ABRAPA) - Strasbourg (Bas-Rhin),-108,Association,48.5712679849,7.767526795169999,Strasbourg,Bas-Rhin
663,,jf00148942.html,Rapport d'observations définitives,06/05/2015,CRC Basse-Normandie Haute-Normandie,Etablissement hospitalier public - Centre Hospitalier de Bernay - Bernay (Eure),-130,Etablissement hospitalier public,49.0925877345,0.5895917523699999,Bernay,Eure
664,,jf00148946.html,Rapport d'observations définitives,03/06/2015,CRC Basse-Normandie Haute-Normandie,Association - Comité coutançais d'action culturelle (CCAC) - Coutances (Manche),-115,Association,49.056618953900006,-1.44345003609,Coutances,Manche
665,661,jf00148985.html,Rapport d'observations définitives,16/04/2015,CRC Nord-Pas-de-Calais Picardie,Département - Département du Pas-de-Calais - Arras (Pas-de-Calais),-127,Département,50.2898964997,2.76587316711,Arras,Pas-de-Calais
666,661,jf00148986.html,Rapport d'observations définitives,16/04/2015,CRC Nord-Pas-de-Calais Picardie,Département - Département du Pas-de-Calais - Arras (Pas-de-Calais),-127,Département,50.2898964997,2.76587316711,Arras,Pas-de-Calais
667,15-0042 R,jf00148989.html,Rapport d'observations définitives,25/06/2015,CRC Ile-de-France,Société d'économie mixte - Société immobilière d'économie mixte - Saint-Maur-des-Fossés (Val-de-Marne),-143,Société d'économie mixte,48.7990677797,2.4938645045200003,Saint-Maur-des-Fossés,Val-de-Marne
668,CALR201515,jf00148991.html,Rapport d'observations définitives,16/06/2015,CRC Champagne-Ardenne Lorraine,Communauté de communes - Communaute de communes de l'agglomeration de Longwy - Longwy (Meurthe-et-Moselle),-55,Communauté de communes,49.5214021779,5.76638370702,Longwy,Meurthe-et-Moselle
669,15-ROD2-MNB-10,jf00148992.html,Rapport d'observations définitives,10/04/2015,CRC Bourgogne Franche-Comté,Centre communal d'action sociale - Centre communal d'action sociale de Montbéliard - Montbéliard (Doubs),-152,Centre communal d'action sociale,47.5155169816,6.79148147353,Montbéliard,Doubs
670,2015-223,jf00149019.html,Rapport d'observations définitives,09/07/2015,CRC Pays de la Loire,Société d'économie mixte - SAEML Terra Botanica - Angers (Maine-et-Loire),-175,Société d'économie mixte,47.476837416,-0.556125995444,Angers,Maine-et-Loire
671,,jf00149045.html,Rapport d'observations définitives,16/07/2015,CRC Aquitaine Poitou-Charentes,Département - Conseil départemental de la Dordogne - Périgueux (Dordogne),-456,Département,45.191870487299994,0.711825549847,Périgueux,Dordogne
672,,jf00149046.html,Rapport d'observations définitives,16/07/2015,CRC Aquitaine Poitou-Charentes,Commune - Confolens -  (Charente),0,Commune,46.01405399999999,0.668317,Confolens,Charente
673,,jf00149053.html,Rapport d'observations définitives,21/05/2015,CRC Basse-Normandie Haute-Normandie,Commune - Dives-sur-Mer -  (Calvados),-60,Commune,49.28656,-0.100024,Dives-sur-Mer,Calvados
674,2015-213,jf00149079.html,Rapport d'observations définitives,21/05/2015,CRC Pays de la Loire,Commune - Bouchemaine -  (Maine-et-Loire),-41,Commune,47.422067,-0.60973,Bouchemaine,Maine-et-Loire
675,2015-017,jf00149113.html,Rapport d'observations définitives,13/04/2015,CRC Midi-Pyrénées,Communauté de communes - Communauté de communes du Savès - Lombez (Gers),80,Communauté de communes,43.466666161300004,0.901915416413,Lombez,Gers
676,,jf00149135.html,Rapport d'observations définitives,21/07/2015,CRC Aquitaine Poitou-Charentes,Etablissement hospitalier public - Service de Soins Infirmiers à  Domicile (SSIAD) du Centre hospitalier d'Excideuil - Excideuil (Dordogne),-146,Etablissement hospitalier public,45.3293054433,1.06217894627,Excideuil,Dordogne
677,,jf00149909.html,Rapport d'observations définitives,26/05/2015,CRC Basse-Normandie Haute-Normandie,"Etablissement public de coopération culturelle - Etablissement public de coopération culturelle ""Arts 276"" - Rouen (Seine-Maritime)",-52,Etablissement public de coopération culturelle,49.441346010299995,1.09256784278,Rouen,Seine-Maritime
678,,jf00149933.html,Rapport d'observations définitives,01/09/2015,CRC Provence-Alpes-Côte d'Azur,Syndicat mixte - Commune du syndicat mixte du développement du durable de l'Est-Var (SMIDDEV) - Fréjus (Var),-150,Syndicat mixte,43.4719558114,6.76361597424,Fréjus,Var
679,LRA201513,jf00149948.html,Rapport d'observations définitives,12/03/2015,CRC Languedoc-Roussillon,Etablissement public de coopération culturelle - Théâtre de l'Archipel - Perpignan (Pyrénées-Orientales),-256,Etablissement public de coopération culturelle,42.6965954131,2.8993695397900003,Perpignan,Pyrénées-Orientales
680,,jf00150024.html,Rapport d'observations définitives,31/08/2015,CRC Aquitaine Poitou-Charentes,Société d'économie mixte - Société Anonyme d'Economie Mixte Deux-Sèvres Aménagement - Niort (Deux-Sèvres),-281,Société d'économie mixte,46.328260242,-0.465353019369,Niort,Deux-Sèvres
681,,jf00150034.html,Rapport d'observations définitives,03/09/2015,CRC Aquitaine Poitou-Charentes,Chambre de commerce et d'industrie - Chambre de Commerce et d'Industrie (CCI) de la région Poitou-Charentes - Poitiers (Vienne),-70,Chambre de commerce et d'industrie,46.5839207726,0.359947653003,Poitiers,Vienne
682,,jf00150110.html,Rapport d'observations définitives,27/07/2015,CRC Basse-Normandie Haute-Normandie,Commune - Saint-Aubin-sur-Mer -  (Calvados),-173,Commune,49.330833,-0.392896,Saint-Aubin-sur-Mer,Calvados
683,2015012,jf00150116.html,Rapport d'observations définitives,07/07/2015,CRC Centre Limousin,Commune - Commune de Sancoins - Sancoins (Cher),-285,Commune,46.824578490600004,2.91377950744,Sancoins,Cher
684,NPR201545,jf00150257.html,Rapport d'observations définitives,23/07/2015,CRC Nord-Pas-de-Calais Picardie,Commune - Lillers -  (Pas-de-Calais),-26,Commune,50.564129,2.4806308999999995,Lillers,Pas-de-Calais
685,,jf00150307.html,Rapport d'observations définitives,29/07/2015,CRC Basse-Normandie Haute-Normandie,Centre communal d'action sociale - Centre communal d'action sociale (CCAS) de Fécamp - Fécamp (Seine-Maritime),-437,Centre communal d'action sociale,49.752324530600006,0.395297587433,Fécamp,Seine-Maritime
686,,jf00150308.html,Rapport d'observations définitives,22/06/2015,CRC Basse-Normandie Haute-Normandie,Communauté de communes - Communauté de communes Coeur Côte Fleurie - Deauville (Calvados),165,Communauté de communes,49.3543800887,0.0744665786308,Deauville,Calvados
687,,jf00150309.html,Rapport d'observations définitives,08/07/2015,CRC Basse-Normandie Haute-Normandie,Commune - Ouistreham -  (Calvados),-36,Commune,49.276656,-0.258658,Ouistreham,Calvados
688,D 152696,jf00150331.html,Rapport d'observations définitives,05/08/2015,CRC Auvergne Rhône-Alpes,Centre communal d'action sociale - Service de soins infirmiers à  Domicile (SSIAD) du CCAS de Clermont-Ferrand - Clermont-Ferrand (Puy-de-Dôme),-81,Centre communal d'action sociale,45.7856492991,3.11554542903,Clermont-Ferrand,Puy-de-Dôme
689,2015013,jf00150338.html,Rapport d'observations définitives,26/06/2015,CRC Centre Limousin,"Office public de l'habitat - Office public de l'habitat ""Tour(s) habitat"" - Tours (Indre-et-Loire)",64,Office public de l'habitat,47.398638228100005,0.696526376417,Tours,Indre-et-Loire
690,,jf00150344.html,Rapport d'observations définitives,22/09/2015,CRC Provence-Alpes-Côte d'Azur,Société d'économie mixte - Société Stationnement urbain développement études - Nice (Alpes-Maritimes),-78,Société d'économie mixte,43.711999266099994,7.23826889465,Nice,Alpes-Maritimes
691,D152969,jf00150355.html,Rapport d'observations définitives,03/09/2015,CRC Auvergne Rhône-Alpes,Commune - Cran-Gevrier -  (Haute-Savoie),-157,Commune,45.907737,6.106676999999999,Cran-Gevrier,Haute-Savoie
692,2015-020,jf00150435.html,Rapport d'observations définitives,10/04/2015,CRC Midi-Pyrénées,Syndicat intercommunal - SIVOM de Saint-Gaudens Aspet Montréjeau Magnoac - Saint-Gaudens (Haute-Garonne),-147,Syndicat intercommunal,43.1199260811,0.726613564199,Saint-Gaudens,Haute-Garonne
693,2015014,jf00150456.html,Rapport d'observations définitives,04/08/2015,CRC Centre Limousin,Commune - Commune de Pithiviers - Pithiviers (Loiret),-11,Commune,48.1805102613,2.24994341572,Pithiviers,Loiret
694,2015-39,jf00150457.html,Rapport d'observations définitives,26/08/2015,CRC Auvergne Rhône-Alpes,Société d'économie mixte - Société d'économie mixte immobilière de Vichy (SEMIV) - Vichy (Allier),-91,Société d'économie mixte,46.1300051383,3.42442081174,Vichy,Allier
695,2015015,jf00150458.html,Rapport d'observations définitives,17/07/2015,CRC Centre Limousin,Centre communal d'action sociale - Centre communal d'action sociale de Brive-la-Gaillarde - Brive-la-Gaillarde (Corrèze),-80,Centre communal d'action sociale,45.143583066400005,1.51936836063,Brive-la-Gaillarde,Corrèze
696,2015016,jf00150460.html,Rapport d'observations définitives,28/08/2015,CRC Centre Limousin,Etablissement public local - Lycée des métiers du bâtiment Jean de Berry de Bourges - Bourges (Cher),-286,Etablissement public local,47.0749572013,2.4041713755700003,Bourges,Cher
697,,jf00150464.html,Rapport d'observations définitives,16/07/2015,CRC Basse-Normandie Haute-Normandie,Commune - Bréhal -  (Manche),-254,Commune,48.898687,-1.5227868999999998,Bréhal,Manche
698,2015017,jf00150466.html,Rapport d'observations définitives,04/08/2015,CRC Centre Limousin,Communauté d'agglomération - Communauté d'agglomération Chartres Métropole - Chartres (Eure-et-Loir),-73,Communauté d'agglomération,48.4471464884,1.50570610616,Chartres,Eure-et-Loir
699,,jf00150468.html,Rapport d'observations définitives,06/07/2015,CRC Basse-Normandie Haute-Normandie,Association - Association Arts-MC - Mézidon-Canon (Calvados),-246,Association,49.0784400196,-0.0740245515937,Mézidon-Canon,Calvados
700,2015-31,jf00150473.html,Rapport d'observations définitives,20/07/2015,CRC Bretagne,Commune - Lanester - Lanester (Morbihan),-58,Commune,47.769192427700006,-3.3264831796200003,Lanester,Morbihan
701,2015-36,jf00150555.html,Rapport d'observations définitives,25/08/2015,CRC Bretagne,Commune - Saint-Quay-Portrieux - Saint-Quay-Portrieux (Côtes-d'Armor),-10,Commune,48.65424750060001,-2.84382337656,Saint-Quay-Portrieux,Côtes-d'Armor
702,CALR201521,jf00150566.html,Rapport d'observations définitives,27/08/2015,CRC Champagne-Ardenne Lorraine,Commune - Commune de Saint-Dizier - Saint-Dizier (Haute-Marne),-292,Commune,48.6280100668,4.94923523578,Saint-Dizier,Haute-Marne
703,,jf00150570.html,Rapport d'observations définitives,17/06/2015,CRC Basse-Normandie Haute-Normandie,Département - Departement de l'Orne - Alençon (Orne),-73,Département,48.4318193082,0.0915406916107,Alençon,Orne
704,,jf00150574.html,Rapport d'observations définitives,22/07/2015,CRC Basse-Normandie Haute-Normandie,Association - Office départemental de la culture de l'Orne (ODC) - Sées (Orne),1,Association,48.6048296774,0.169026415284,Sées,Orne
705,2015-37,jf00150577.html,Rapport d'observations définitives,26/08/2015,CRC Bretagne,Communauté de communes - Communaute de communes de Belle-Ile-en-Mer - Le Palais (Morbihan),-61,Communauté de communes,47.342690968199996,-3.17102952046,Le Palais,Morbihan
